epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3941,0.61667,1.7751,0.87138,0.66589,0.85342,0.78205,0.68651,0.58244,1.36672,0.82096,0.000406977,0.000406977,0.000406977
2,48.4129,0.56878,0.99615,0.85053,0.35425,0.30525,0.27815,0.2151,1.05258,2.38562,1.00492,0.000810053,0.000810053,0.000810053
3,68.1881,0.55932,0.82097,0.84207,0.57477,0.54948,0.59338,0.51588,0.65435,2.25286,0.84811,0.00119938,0.00119938,0.00119938
4,87.4819,0.54783,0.84862,0.8413,0.62198,0.7359,0.77814,0.68683,0.58881,1.91443,0.82642,0.00118812,0.00118812,0.00118812
5,106.365,0.56019,0.75892,0.84008,0.69201,0.85906,0.91167,0.79807,0.57187,0.89082,0.83746,0.0011675,0.0011675,0.0011675
6,125.648,0.5397,0.66993,0.842,0.81455,0.82291,0.91729,0.82343,0.51177,0.83295,0.80633,0.00114688,0.00114688,0.00114688
7,144.734,0.52996,0.63956,0.8402,0.88208,0.90298,0.96231,0.86711,0.49863,0.49362,0.79996,0.00112625,0.00112625,0.00112625
8,164.712,0.52881,0.59178,0.83754,0.87065,0.91768,0.95704,0.85344,0.53215,0.54746,0.80416,0.00110563,0.00110563,0.00110563
9,183.273,0.53749,0.57708,0.83935,0.92463,0.88906,0.96635,0.8609,0.5469,0.45561,0.80611,0.001085,0.001085,0.001085
10,203.686,0.54268,0.5497,0.84482,0.88003,0.93981,0.97243,0.87294,0.50465,0.53189,0.80476,0.00106437,0.00106437,0.00106437
11,223.383,0.51035,0.5504,0.83091,0.66532,0.83088,0.85998,0.77697,0.52332,1.27676,0.81012,0.00104375,0.00104375,0.00104375
12,243.669,0.49777,0.52223,0.83324,0.92088,0.90594,0.97065,0.88155,0.48029,0.49681,0.79965,0.00102312,0.00102312,0.00102312
13,264.985,0.5024,0.52835,0.83562,0.85577,0.84077,0.94712,0.85962,0.51877,0.62374,0.80447,0.0010025,0.0010025,0.0010025
14,285.107,0.47817,0.4793,0.82811,0.87229,0.93981,0.97629,0.88663,0.49962,0.48781,0.80368,0.000981875,0.000981875,0.000981875
15,304.21,0.48381,0.45314,0.8276,0.94317,0.91385,0.97848,0.88813,0.49061,0.46845,0.79906,0.00096125,0.00096125,0.00096125
16,324.432,0.48601,0.44519,0.83206,0.90251,0.95914,0.98215,0.89266,0.49857,0.45066,0.79952,0.000940625,0.000940625,0.000940625
17,342.947,0.46395,0.45541,0.82025,0.90573,0.91538,0.96971,0.8898,0.48417,0.58776,0.79595,0.00092,0.00092,0.00092
18,362.401,0.47695,0.4465,0.8275,0.95654,0.96799,0.98398,0.89741,0.50356,0.38873,0.80431,0.000899375,0.000899375,0.000899375
19,381.836,0.47329,0.45366,0.82957,0.82328,0.87853,0.95673,0.86843,0.50335,0.62877,0.80189,0.00087875,0.00087875,0.00087875
20,401.275,0.47985,0.41457,0.82571,0.91148,0.91442,0.97026,0.87605,0.53632,0.5467,0.8081,0.000858125,0.000858125,0.000858125
